AnalysisMethodID,Name_NO,Description_NO,Name_EN,Description_EN,Withdrawn,Protocol_Name,Comments
NS 4756,Titrimetrisk metode (NS 4756:1982; Tilbaketrukket),Bestemmelse av klorid - Potensiometrisk titrering. Tilbaketrukket. Erstattet av NS-EN ISO 7393-1:2000,Titrimetric method,Determination of chloride - Potensiometrisk titrering. Withdrawn. Erstattet of NS-EN ISO 7393-1:2000,TRUE,Other,Classical/non-instrumental analytical method
NS 4769,Spektrofotometri (NS 4769:1985; Tilbaketrukket),Bestemmelse av klorid - Fotometrisk metode. Tilbaketrukket. Erstattet av NS-EN ISO 15682:2001 og NS-EN ISO 7393,Spectrophotometry,Determination of chloride - Fotometrisk method. Withdrawn. Erstattet of NS-EN ISO 15682:2001 and NS-EN ISO 7393,TRUE,Spectrophotometry,
NS-EN ISO 10304-1,Væskekromatografi (ISO 10304-1; Tilbaketrukket),"Bestemmelse av oppløst fluorid, klorid, nitritt, ortofosfat, bromid, nitrat og sulfat med væskekromatografi - Del 1: Metode for lite forurenset vann (ISO 10304-1:1992). Tilbaketrukket. Erstattet av NS-EN ISO 10304-1:2009.",Liquid chromatography,"Determination of dissolved fluoride, chloride, nitrite, ortofosfat, bromide, nitrate and sulfate with liquid chromatography - Part 1: method for lite forurenset water. Withdrawn. Erstattet of NS-EN ISO 10304-1:2009.",TRUE,LC-MS,Generic liquid chromatography; inferred LC-MS from context
NS 4721,Elektrokjemisk metode (NS 4721:1973; Tilbaketrukket),Måling av konduktivitet. Tilbaketrukket. Erstattet av NS-ISO 7888.,Electrochemical method,Measurement of konduktivitet. Withdrawn. Erstattet of NS-ISO 7888.,TRUE,Other,Classical/non-instrumental analytical method
NS-ISO 7888,Elektrokjemisk metode (ISO 7888),Bestemmelse av konduktivitet - (= EN 27888:1993),Electrochemical method,Determination of konduktivitet -,FALSE,Other,Classical/non-instrumental analytical method
NS-EN 1484 IR,Infrarød spektrofotometri (NS-EN 1484),Retningslinjer for bestemmelse av totalt organisk karbon (TOC) og løst organisk karbon (DOC),Infrared spectrophotometry,Guidelines for bestemmelse of total organic carbon (TOC) and løst organic carbon (DOC),FALSE,Spectrophotometry,
NS-EN 1484 EL,Elektrokjemisk metode (NS-EN 1484),Retningslinjer for bestemmelse av totalt organisk karbon (TOC) og løst organisk karbon (DOC),Electrochemical method,Guidelines for bestemmelse of total organic carbon (TOC) and løst organic carbon (DOC),FALSE,Other,Classical/non-instrumental analytical method
NS-EN ISO 16264 K4-1,Spektrofotometri FIA (ISO 16264),Bestemmelse av løselige silikater ved automatisert analyse (FIA og CFA) og fotometrisk deteksjon (ISO 16264:2002). Kap. 4.1: Injeksjonsmetode (FIA).,Spectrophotometry FIA,Determination of løselige silikater ved automatisert analysis (FIA and CFA) and fotometrisk deteksjon. Kap. 4.1: Injeksjonsmetode (FIA).,FALSE,Spectrophotometry,
NS-EN ISO 16264 K4-2,Spektrofotometri CFA (ISO 16264),Bestemmelse av løselige silikater ved automatisert analyse (FIA og CFA) og fotometrisk deteksjon (ISO 16264:2002). Kap. 4.2: Kontinuerlig gjennomstrømning (CFA).,Spectrophotometry CFA,Determination of løselige silikater ved automatisert analysis (FIA and CFA) and fotometrisk deteksjon. Kap. 4.2: Kontinuerlig gjennomstrømning (CFA).,FALSE,Spectrophotometry,
NS 4745,Spektrofotometri (NS 4745:1991),Bestemmelse av summen av nitritt- og nitrat-nitrogen.,Spectrophotometry,Determination of summen of nitrite- and nitrate-nitrogen.,FALSE,Spectrophotometry,
NS-EN ISO 13395 K5-1,Spektrofotometri FIA (ISO 13395),Bestemmelse av nitritt-nitrogen og nitrat-nitrogen og summen av begge ved automatisert analyse (CFA og FIA) og spektrometrisk deteksjon (ISO 13395:1996). Kap. 5.1: Injeksjonsmetode (FIA).,Spectrophotometry FIA,Determination of nitrite-nitrogen and nitrate-nitrogen and summen of begge ved automatisert analysis (CFA and FIA) and spektrometrisk deteksjon. Kap. 5.1: Injeksjonsmetode (FIA).,FALSE,Spectrophotometry,
NS-EN ISO 13395 K5-2,Spektrofotometri CFA (ISO 13395),Bestemmelse av nitritt-nitrogen og nitrat-nitrogen og summen av begge ved automatisert analyse (CFA og FIA) og spektrometrisk deteksjon (ISO 13395:1996). Kap. 5.2: Kontinuerlig gjennomstrømning (CFA).,Spectrophotometry CFA,Determination of nitrite-nitrogen and nitrate-nitrogen and summen of begge ved automatisert analysis (CFA and FIA) and spektrometrisk deteksjon. Kap. 5.2: Kontinuerlig gjennomstrømning (CFA).,FALSE,Spectrophotometry,
NS-ISO 6777,Spektrofotometri (ISO 6777),Bestemmelse av nitritt - Spektrofotometrisk metode - (= EN 26777:1993) (ISO 6777:1984),Spectrophotometry,Determination of nitrite - Spektrofotometrisk method -,FALSE,Spectrophotometry,
UKJENT,Ukjent metode,Ukjent metode,Ukjent metode,Ukjent method,FALSE,Other,Could not determine specific analytical technique
NS 9803,Infrarød spektrofotometri (NS 9803; Tilbaketrukket),Bestemmelse av olje i vann - Infrarødspektrofotometrisk metode. Tilbaketrukket. Erstattet av NS-EN ISO 9377-2.,Infrared spectrophotometry,Determination of olje in water - Infrarødspektrofotometrisk method. Withdrawn. Erstattet of NS-EN ISO 9377-2.,TRUE,Spectrophotometry,
NS 4738,Spektrofotometri (NS 4738:1977; Tilbaketrukket),Bestemmelse av fenoler. Tilbaketrukket.,Spectrophotometry,Determination of fenoler. Withdrawn.,TRUE,Spectrophotometry,
NS-EN ISO 18857-1,Gasskromatografi (ISO 18857-1),Bestemmelse av utvalgte alkylfenoler - Del 1: Metode for ikke-filtrerte prøver ved bruk av væske-væske-ekstraksjon og gasskromatografi med masseselektiv deteksjon (ISO 18857-1:2005),Gas chromatography,Determination of selected alkylfenoler - Part 1: method for ikke-filtrerte prøver ved bruk of væske-væske-ekstraksjon and gasskromatografi with masseselektiv deteksjon,FALSE,Other,Could not determine specific analytical technique
NS-EN 12673,Gasskromatografi (NS-EN 12673),Gasskromatografisk bestemmelse av noen utvalgte klorfenoler i vann,Gas chromatography,Gasskromatografisk bestemmelse of noen selected klorfenoler in water,FALSE,Other,Could not determine specific analytical technique
NS-EN ISO 17353,Gasskromatografi (ISO 17353),Bestemmelse av utvalgte organiske tinnforbindelser - Gasskromatografisk metode (ISO 17353:2004),Gas chromatography,Determination of selected organiske tinnforbindelser - Gasskromatografisk method,FALSE,Other,Could not determine specific analytical technique
ARMITAGE_1983,Armitage et al. (1983),"Armitage, P.D., D. Moss, J.F. Wright & M.T. Furse 1983. The performance of a new biological water quality score system based on macroinvertebrates over a wide range of unpolluted runningwater sites. Water Res. 17: 333-347.",Armitage et al.,"Armitage, P.D., D. Moss, J.F. Wright & M.T. Furse 1983. The performance of a new biological water quality score system based on macroinvertebrates over a wide range of unpolluted runningwater sites. Water Res. 17: 333-347.",FALSE,Other,Could not determine specific analytical technique
NS-EN 14407,Bentiske kiselalger i rennende vann (NS-EN 14407; Tilbaketrukket),Retningslinjer for identifisering og telling av bentiske diatomeer (kiselalger) i rennende vann samt tolkning av data. Tilbaketrukket. Erstattet av NS-EN 14407:2014,Bentiske kiselalger i rennende vann,Guidelines for identifisering and telling of bentiske diatomeer (kiselalger) in rennende water samt tolkning of data. Withdrawn. Erstattet of NS-EN 14407:2014,TRUE,Not relevant,"Reference method, guideline, or calculation"
NS 4714,MPN-rørmetode (NS 4714:1990; Tilbaketrukket),"Koliforme bakterier, termotolerante koliforme bakterier og presumptiv E.Coli - MPN-rørmetode. Tilbaketrukket. Erstattet av NS-EN ISO 9308:2014.",MPN-rørmetode,"Koliforme bakterier, termotolerante koliforme bakterier and presumptiv E.Coli - MPN-rørmetode. Withdrawn. Erstattet of NS-EN ISO 9308:2014.",TRUE,Other,Could not determine specific analytical technique
NS 4792,Membranfiltermetode (NS 4792),Termotolerante koliforme bakterier og presumptiv E.coli - Membranfiltermetode.,Membranfiltermetode,Termotolerante koliforme bakterier and presumptiv E.coli - Membranfiltermetode.,FALSE,Other,Could not determine specific analytical technique
NS-EN ISO 9308-1,Membranfiltermetode (ISO 9308-1; Tilbaketrukket),Påvisning og telling av Escherichia coli og koliforme bakterier - Del 1: Membranfiltreringsmetode (ISO 9308-1:2000). Tilbaketrukket. Erstattet av NS-EN ISO 9308-1:2014),Membranfiltermetode,Påvisning and telling of Escherichia coli and koliforme bakterier - Part 1: Membranfiltreringsmetode. Withdrawn. Erstattet of NS-EN ISO 9308-1:2014),TRUE,Other,Could not determine specific analytical technique
NS-EN ISO 9308-3,MPN-mikrotitrerplater (ISO 9308-3),Påvisning og telling av Escherichia coli og koliforme bakterier i overflatevann og avløpsvann - Del 3: Inokulasjon i flytende medium på mikrotitrerplater (MPN-teknikk).,MPN-mikrotitrerplater,Påvisning and telling of Escherichia coli and koliforme bakterier in overflatevann and wastewater - Part 3: Inokulasjon in flytende medium on mikrotitrerplater (MPN-teknikk).,FALSE,Other,Could not determine specific analytical technique
HURLBERT_1971,Hurlbert (1971),"Hurlbert, S. H. 1971. The non-concept of species diversity: A critique and alternative parameters. Ecology 52: 577–586",Hurlbert,"Hurlbert, S. H. 1971. The non-concept of species diversity: A critique and alternative parameters. Ecology 52: 577–586",FALSE,Other,Could not determine specific analytical technique
NS-EN 14011,Elfiske (NS-EN 14011),Innsamling av fisk ved bruk av elektrisk fiskeapparat,Elfiske,Innsamling of fisk ved bruk of elektrisk fiskeapparat,FALSE,Other,Could not determine specific analytical technique
NS-EN 14757,Garnfiske (NS-EN 14757; Tilbaketrukket)),Prøvetaking av fisk med garn. Tilbaketrukket. Erstattet av NS-EN 14757:2015.,Garnfiske),Sampling of fisk with garn. Withdrawn. Erstattet of NS-EN 14757:2015.,TRUE,Other,Could not determine specific analytical technique
NS 9456,Visuell telling (anadrom laksefisk) (Tilbaketrukket),"Visuell telling av laks, sjøørret og sjørøye. Tilbaketrukket. Ertsattet av NS 9456:2015",Visuell telling (anadrom laksefisk) (Tilbaketrukket),"Visuell telling of laks, sjøørret and sjørøye. Withdrawn. Ertsattet of NS 9456:2015",TRUE,Other,Classical/non-instrumental analytical method
RYGG_2002,Rygg (2002),"Rygg, B. 2002. Indicator species index for assessing benthic ecological quality in marine waters of Norway. NIVA-rapport 4548-2002. 32 s.",Rygg,"Rygg, B. 2002. Indicator species index for assessing benthic ecological quality in marine waters of Norway. NIVA-rapport 4548-2002. 32 s.",FALSE,Other,Could not determine specific analytical technique
NS-EN ISO 6222,Innstøpning i næringsmedium (ISO 6222),Bestemmelse av dyrkbare mikroorganismer (kimtall) - Kolonitelling ved innstøpning i næringsagarmedium (ISO 6222:1999),Innstøpning i næringsmedium,Determination of dyrkbare mikroorganismer (kimtall) - Kolonitelling ved innstøpning in næringsagarmedium,FALSE,Other,Could not determine specific analytical technique
NS 4766,Spektrofotometri (NS 4766:1983; Tilbaketrukket),"Bestemmelse av klorofyll a, spektrofotometrisk måling i acetonekstrakt. Tilbaketrukket. Erstattet av NS-EN ISO 10519:2015",Spectrophotometry,"Determination of klorofyll a, spektrofotometrisk måling in acetonekstrakt. Withdrawn. Erstattet of NS-EN ISO 10519:2015",TRUE,Spectrophotometry,
NS 4767,Spektrofotometri (NS 4767:1983),"Bestemmelse av klorofyll a, spektrofotometrisk måling i metanolekstrakt",Spectrophotometry,"Determination of klorofyll a, spektrofotometrisk måling in metanolekstrakt",FALSE,Spectrophotometry,
NS 4788,Membranfiltermetode (NS 4788),Koliforme bakterier - Membranfiltermetode.,Membranfiltermetode,Koliforme bakterier - Membranfiltermetode.,FALSE,Other,Could not determine specific analytical technique
NS-EN ISO 19493:2007,Marin hardbunn (ISO 19493:2007),Veiledning for marinbiologisk undersøkelse av litoral og sublitoral hard bunn (ISO 19493:2007),Marin hardbunn,Veiledning for marinbiologisk undersøkelse of litoral and sublitoral hard bunn,FALSE,Other,Could not determine specific analytical technique
SHANNON_1948,Shannon (1948),"Shannon, C.E. 1948. A mathematical theory of communication. Bell System Technical Journal 27: 379-423 and 623-656.",Shannon,"Shannon, C.E. 1948. A mathematical theory of communication. Bell System Technical Journal 27: 379-423 and 623-656.",FALSE,Not relevant,"Reference method, guideline, or calculation"
NS-EN ISO 16665,Marin bløtbunnsfauna (ISO 16665; Tilbaketrukket),Retningslinjer for kvantitativ prøvetaking og prøvebehandling av marin bløtbunnsfauna (ISO 16665:2005). Tilbaketrukket. Erstattet av NS-EN ISO 16665:2014,Marin bløtbunnsfauna,Guidelines for kvantitativ sampling and prøvebehandling of marin bløtbunnsfauna. Withdrawn. Erstattet of NS-EN ISO 16665:2014,TRUE,Not relevant,"Reference method, guideline, or calculation"
NS-EN 15460:2007,Makrovegetasjon i innsjøer (NS-EN 15460:2007),Veiledning i overvåking av makrovegetasjon i innsjøer,Makrovegetasjon i innsjøer,Veiledning in overvåking of makrovegetasjon in innsjøer,FALSE,Other,Could not determine specific analytical technique
NS-EN 14184,Makrovegetasjon i rennende vann (NS-EN 14184; Tilbaketrukket),Veiledning for overvåking av akvatisk makrovegetasjon i rennende vann. Tilbaketrukket. Erstattet av NS-EN 14184:2014,Makrovegetasjon i rennende vann,Veiledning for overvåking of akvatisk makrovegetasjon in rennende water. Withdrawn. Erstattet of NS-EN 14184:2014,TRUE,Other,Could not determine specific analytical technique
BAEKKEN_1990,Bækken & Aanes (1990),"Bækken, T., Aanes, K. 1990. Bruk av vassdragets bunnfauna i vannkvalitetsklassifiseringen. Rapport 2: Forsuring. NIVA-rapport 2491-1990. 46 s.",Bækken & Aanes,"Bækken, T., Aanes, K. 1990. Bruk of vassdragets bunnfauna in vannkvalitetsklassifiseringen. Rapport 2: Forsuring. NIVA-rapport 2491-1990. 46 s.",FALSE,Other,Could not determine specific analytical technique
NS 9429:2007,Marine planktonalger (NS 9429:2007; Tilbaketrukket),Retningslinjer for kvantitative og kvalitative undersøkelser av marine planktonalger. Tilbaketrukket. Erstatttet av NS-EN 15972:2011,Marine planktonalger,Guidelines for kvantitative and kvalitative undersøkelser of marine planktonalger. Withdrawn. Erstatttet of NS-EN 15972:2011,TRUE,Not relevant,"Reference method, guideline, or calculation"
NS-EN 15204,Utermöhls metode (NS-EN 15204),Veiledning for kvantifisering av planteplankton ved bruk av omvendt mikroskop (Utermöhls metode),Utermöhls metode,Veiledning for kvantifisering of planteplankton ved bruk of omvendt mikroskop (Utermöhls method),FALSE,Other,Could not determine specific analytical technique
STEEMAN-NIELSEN_1952,Steeman-Nielsen metode (1952),"Steeman-Nielsen, E.  1952.  The use of radioactive carbon (14C) for measuring organic production in the sea.  Journal du Conseil 18: 117-140.",Steeman-Nielsen metode,"Steeman-Nielsen, E. 1952. The use of radioactive carbon (14C) for measuring organic production in the sea. Journal du Conseil 18: 117-140.",FALSE,Other,Could not determine specific analytical technique
FJELLHEIM_1990,Fjellheim & Raddum (1990),"Fjellheim, A. & Raddum, G.G. 1990. Acid precipitation. Biological monitoring of streams and lakes. The Science of the Total Environment 96: 57-66.",Fjellheim & Raddum,"Fjellheim, A. & Raddum, G.G. 1990. Acid precipitation. Biological monitoring of streams and lakes. The Science of the total Environment 96: 57-66.",FALSE,Other,Could not determine specific analytical technique
RADDUM_1999,Raddum (1999),"Raddum, G.G. 1999. Large scale monitoring of invertebrates: Aims, possibilities and acidification indexes. In: Raddum, G.G., Rosseland, B.O. & Bowman, J. (eds.) Workshop on biological assessment and monitoring: evaluation of models. ICP-Waters Report 50/99: 7-16.",Raddum,"Raddum, G.G. 1999. Large scale monitoring of invertebrates: Aims, possibilities and acidification indexes. In: Raddum, G.G., Rosseland, B.O. & Bowman, J. (eds.) Workshop on biological assessment and monitoring: evaluation of models. ICP-Waters Report 50/99: 7-16.",FALSE,Other,Could not determine specific analytical technique
MJELDE_2007,Mjelde (2007),"Mjelde, 2007. Macrophytes and eutrophication in lakes. In: Moe, J. & Pederesen, A. (ed.) 2007.",Mjelde,"Mjelde, 2007. Macrophytes and eutrophication in lakes. In: Moe, J. & Pederesen, A. (ed.) 2007.",FALSE,Other,Could not determine specific analytical technique
NS-EN ISO 7027 K6,Nefelometrisk metode (ISO 7027; Tilbaketrukket),Bestemmelse av turbiditet (ISO 7027:1999) - Kap. 6: Kvantitative metoder for bestemmelse av turbiditet med optiske turbidimetre. Tilbaketrukket. Erstattet av NS-EN ISO 7027-1:2016.,Nephelometric method,Determination of turbiditet - Kap. 6: Kvantitative metoder for bestemmelse of turbiditet with optiske turbidimetre. Withdrawn. Erstattet of NS-EN ISO 7027-1:2016.,TRUE,Other,Classical/non-instrumental analytical method
NS-EN ISO 7027 K5,Visuell metode (ISO 7027; Tilbaketrukket)),Bestemmelse av turbiditet (ISO 7027:1999) - Kap. 5: Semikvantitative metoder for bestemmelse av turbiditet. Tilbaketrukket. Erstattet av NS-EN ISO 7027-2:2019.,Visual method),Determination of turbiditet - Kap. 5: Semikvantitative metoder for bestemmelse of turbiditet. Withdrawn. Erstattet of NS-EN ISO 7027-2:2019.,TRUE,Other,Classical/non-instrumental analytical method
NS-EN 12260,Kjemiluminiscens (EN 12260; Tilbaketrukket),Bestemmelse av bundet nitrogen (TNb) etter oksidasjon til nitrogenoksider. Tilbaketrukket. Erstattet av NS-EN ISO 20236:2021.,Kjemiluminiscens,Determination of bundet nitrogen (TNb) etter oksidasjon til nitrogenoksider. Withdrawn. Erstattet of NS-EN ISO 20236:2021.,TRUE,Other,Could not determine specific analytical technique
SPOERRESKJEMA,Spørreundersøkelse,Spørreundersøkelse,Spørreundersøkelse,Spørreundersøkelse,FALSE,Other,Could not determine specific analytical technique
NS-EN 15708:2009,Bentiske alger i grunne elver (NS-EN 15708:2009),"Veiledning i overvåking, innsamling og laboratorieanalyse av bentiske alger i grunne elver",Bentiske alger i grunne elver,"Veiledning in overvåking, innsamling and laboratorieanalyse of bentiske alger in grunne elver",FALSE,Other,Could not determine specific analytical technique
SCHNEIDER_2009,Schneider & Lindstrøm (2009),"Schneider, S. & Lindstrøm, E.A. 2009. Bioindication in Norwegian rivers using non-diatomaceous benthic algea: The acidification index periphyton (AIP). Ecol. Indicators 9: 1206-1211.",Schneider & Lindstrøm,"Schneider, S. & Lindstrøm, E.A. 2009. Bioindication in Norwegian rivers using non-diatomaceous benthic algea: The acidification index periphyton (AIP). Ecol. Indicators 9: 1206-1211.",FALSE,Other,Could not determine specific analytical technique
NS 9462:2006,UV-absorbans (NS 9462),Bestemmelse av UV-absorbans (NS 9462:2006),UV-absorbans,Determination of UV-absorbans,FALSE,Spectrophotometry,
NS-EN ISO 15586,AAS grafittovn (ISO 15586),Bestemmelse av sporelementer med atomabsorpsjonsspektrometri i grafittovn (ISO 15586:2003),AAS grafittovn,Determination of sporelementer with atomabsorpsjonsspektrometri in grafittovn,FALSE,AAS,
SCHNEIDER_2011,Schneider & Lindstrøm (2011),"Schneider, S. & Lindstrøm, E.A. 2011. The periphyton index of trophic status PIT: a new eutrophication metric based on non-diatomaceous benthic algae in Nordic rivers. Hydrobiologia 655:143-155",Schneider & Lindstrøm,"Schneider, S. & Lindstrøm, E.A. 2011. The periphyton index of trophic status PIT: a new eutrophication metric based on non-diatomaceous benthic algae in Nordic rivers. Hydrobiologia 655:143-155",FALSE,Other,Could not determine specific analytical technique
NS-EN 13137:2001,Karakterisering av avfall,"Karakterisering av avfall - Bestemmelse av totalt organisk karbon (TOC) i avfall, slam og sedimenter",Karakterisering av avfall,"Karakterisering of avfall - determination of total organic carbon (TOC) in avfall, slam and sedimenter",FALSE,Other,Could not determine specific analytical technique
NS 4780,AAS grafittovn (NS 4780; Tilbaketrukket),"Metaller i vann, slam og sedimenter - Bestemmelse ved flammeløs atomabsorpsjonsspektrometri - Elektrotermisk atomisering i grafittovn. Generelle prinsipper og retningslinjer. Tilbaktrukket. Erstattet av NS-EN ISO 15586.",AAS grafittovn,"metals in water, slam and sedimenter - Bestemmelse ved flammeløs atomabsorpsjonsspektrometri - Elektrotermisk atomisering in grafittovn. Generelle prinsipper and retningslinjer. Tilbaktrukket. Erstattet of NS-EN ISO 15586.",TRUE,AAS,
ISO 10382,Gasskromatografi (ISO 10382; Tilbaketrukket),Determination of organochlorine pesticides and polychlorinated biphenyls - Gas-chromatographic method with electron capture detection. Tilbaketrukket. Erstattet av ISO 23646:2022.,Gas chromatography,Determination of organochlorine pesticides and polychlorinated biphenyls - Gas-chromatographic method with electron capture detection. Withdrawn. Erstattet of ISO 23646:2022.,TRUE,Other,Could not determine specific analytical technique
IREL,Ikke relevant,Ikke relevant,Ikke relevant,Ikke relevant,FALSE,Other,Could not determine specific analytical technique
MC-LR ELISA,Spektrofotometri-mikrotitrerplate ELISA,"Spektrofotometrisk bestemmelse av mikrocystin i vann ved ""Enzyme-Linked ImmunoSorbent Assay"" (ELISA).",Spectrophotometry-mikrotitrerplate ELISA,"Spektrofotometrisk bestemmelse of mikrocystin in water ved ""Enzyme-Linked ImmunoSorbent Assay"" (ELISA).",FALSE,Spectrophotometry,
NS-EN ISO 11885:2009,ICP-OES (ISO 11885),Bestemmelse av utvalgte elementer ved induktivt koblet plasma-optisk emisjonsspektrometrisk analyse (ISO 11885:2007),ICP-OES,Determination of selected elementer ved induktivt koblet plasma-optisk emisjonsspektrometrisk analysis,FALSE,ICP-OES,
NS-ISO 7027,Nefelometrisk metode (EN 27027; Tilbaketrukket),Bestemmelse av turbiditet (= EN 27027:1994). Tilbaketrukket. Erstattet av NS-EN ISO 7027. ,Nephelometric method,Determination of turbiditet. Withdrawn. Erstattet of NS-EN ISO 7027.,TRUE,Other,Classical/non-instrumental analytical method
PIELOU_1966,Pielou (1966),"Pielou, E.C. 1966. The measurement of diversity in different types of biological collections. Journal of Theoretical Biology 13: 131-144.",Pielou,"Pielou, E.C. 1966. The measurement of diversity in different types of biological collections. Journal of Theoretical Biology 13: 131-144.",FALSE,Other,Could not determine specific analytical technique
NS 4719,Bunndyr: Prøvetaking i rennende vann. (NS 4719:1988; Tilbaketrukket),Bunnfauna - Prøvetaking med elvehåv i rennende vann. Tilbaketrukket.,Bunndyr: Prøvetaking i rennende vann.,Bunnfauna - sampling with elvehåv in rennende water. Withdrawn.,TRUE,Other,Could not determine specific analytical technique
ISO 16703,Gasskromatografi (ISO 16703),Determination of content of hydrocarbon in the range C10 to C40 by gas chromatography,Gas chromatography,Determination of content of hydrocarbon in the range C10 to C40 by gas chromatography,FALSE,Other,Could not determine specific analytical technique
NS-ISO 6461-1,Anrikning i flytende medium (NS-ISO 6461-1),Påvisning og telling av sporer fra sulfittreduserende anaerobe mikroorganismer (Clostridium). Del 1: Metode ved anrikning i flytende medium.,Enrichment in liquid medium,Påvisning and telling of sporer fra sulfittreduserende anaerobe mikroorganismer (Clostridium). Part 1: method ved anrikning in flytende medium.,FALSE,Other,Could not determine specific analytical technique
NS-ISO 6461-2,Membranfiltermetode (NS-ISO 6461-2),Påvisning og telling av sporer fra sulfittreduserende anaerobe mikroorganismer (Clostridium). Del 2: Membranfiltreringsmetode.,Membranfiltermetode,Påvisning and telling of sporer fra sulfittreduserende anaerobe mikroorganismer (Clostridium). Part 2: Membranfiltreringsmetode.,FALSE,Other,Could not determine specific analytical technique
NS-EN ISO 7899-1,MPN-mikrotitrerplater (NS-EN ISO 7899-1),Påvisning og telling av enterokokker i overflatevann og avløpsvann. Del 1: Inokulasjon i flytende medium på mikrotitrerplater (MPN-teknikk).,MPN-mikrotitrerplater,Påvisning and telling of enterokokker in overflatevann and wastewater. Part 1: Inokulasjon in flytende medium on mikrotitrerplater (MPN-teknikk).,FALSE,Other,Could not determine specific analytical technique
NS-EN ISO 7899-2,Membranfiltermetode (NS-EN ISO 7899-2),Påvisning og telling av intestinale enterokokker. Del 2: Membranfiltreringsmetode.,Membranfiltermetode,Påvisning and telling of intestinale enterokokker. Part 2: Membranfiltreringsmetode.,FALSE,Other,Could not determine specific analytical technique
NS-EN 15972:2011,Marine planktonalger (NS-EN 15972:2011),Veiledning for kvantitative og kvalitative undersøkelser av marine planktonalger.,Marine planktonalger,Veiledning for kvantitative and kvalitative undersøkelser of marine planktonalger.,FALSE,Other,Could not determine specific analytical technique
NS-EN 12880:2000,Veiing (NS-EN 12880),Karakterisering av slam - Bestemmelse av tørrstoff og vanninnhold,Veiing,Karakterisering of slam - determination of tørrstoff and vanninnhold,FALSE,Other,Could not determine specific analytical technique
BERG_1998,Van den Berg et al. (1998),"Van den Berg M, Birnbaum L, Bosveld AT, Brunström B, Cook P, Feeley M, et al. 1998. Toxic equivalency factors (TEFs) for PCBs, PCDDs, PCDFs for humans and wildlife. Environ Health Perspect 106:775-792.",Van den Berg et al.,"Van den Berg M, Birnbaum L, Bosveld AT, Brunström B, Cook P, Feeley M, et al. 1998. Toxic equivalency factors (TEFs) for PCBs, PCDDs, PCDFs for humans and wildlife. Environ Health Perspect 106:775-792.",FALSE,Other,Could not determine specific analytical technique
NS-EN ISO 7887:2011 B,Spektrofotometri (ISO 7887:2011),Bestemmelse av farge - Metode B: Bestemmelse av sann farge ved hjelp av optiske instrumenter (ISO 7887:2011).,Spectrophotometry,Determination of colour - method B: determination of sann colour ved hjelp of optiske instrumenter.,FALSE,Spectrophotometry,
NS-EN ISO 7887:2011 D,Visuell metode (ISO 7887:2011),Bestemmelse av farge - Metode D: Visuell metode for å bestemme farge i naturlig vann (ISO 7887:2011).,Visual method,Determination of colour - method D: Visuell method for å bestemme colour in naturlig water.,FALSE,Other,Classical/non-instrumental analytical method
NS-EN ISO 7887:2011 C,Spektrofotometri 410 nm  (ISO 7887:2011),Bestemmelse av farge - Metode C: Bestemmelse av sann farge ved hjelp av optiske instrumenter for måling av absorbans ved bølgelengde 410 nm (ISO 7887:2011).,Spectrophotometry 410 nm,Determination of colour - method C: determination of sann colour ved hjelp of optiske instrumenter for måling of absorbans ved bølgelengde 410 nm.,FALSE,Spectrophotometry,
NS-EN ISO 12846:2012,AAS (ISO 12846:2012),Bestemmelse av kvikksølv. Atomabsorpsjonsspektrometrisk metode med og uten anriking (ISO 12846:2012),AAS,Determination of kvikksølv. Atomabsorpsjonsspektrometrisk method with and uten anriking,FALSE,AAS,
NS-EN 14184:2014,Makrovegetasjon i rennende vann (NS-EN 14184:2014),Veiledning for overvåking av akvatisk makrovegetasjon i rennende vann,Makrovegetasjon i rennende vann,Veiledning for overvåking of akvatisk makrovegetasjon in rennende water,FALSE,Other,Could not determine specific analytical technique
SOP6A,SOP 6a - Potentiometric pH,Dickson et. al. (2007). Determination of the pH of sea water using a glass/reference electrode cell.,SOP 6a - Potentiometric pH,Dickson et. al.. Determination of the pH of sea water using a glass/reference electrode cell.,FALSE,Other,Classical/non-instrumental analytical method
SOP6B,SOP 6b - Spectrophotometric pH,Dickson et. al. (2007). Determination of the pH of sea water using the indicator dye m-cresol purple.,SOP 6b - Spectrophotometric pH,Dickson et. al.. Determination of the pH of sea water using the indicator dye m-cresol purple.,FALSE,Other,Could not determine specific analytical technique
SOP5,SOP 5 - Underway p(CO2),Dickson et. al. (2007). Determination of p(CO2) in air that is in equilibrium with a continuous stream of sea water.,SOP 5 - Underway p(CO2),Dickson et. al.. Determination of p(CO2) in air that is in equilibrium with a continuous stream of sea water.,FALSE,Other,Could not determine specific analytical technique
SOP4,SOP 4 - Discrete p(CO2),Dickson et. al. (2007). Determination of p(CO2) in air that is in equilibrium with a discrete sample of sea water.,SOP 4 - Discrete p(CO2),Dickson et. al.. Determination of p(CO2) in air that is in equilibrium with a discrete sample of sea water.,FALSE,Other,Could not determine specific analytical technique
SOP3A,SOP 3a - Total alkalinity (closed cell),Dickson et. al. (2007). Determination of total alkalinity in sea water using a closed-cell titration.,SOP 3a - Total alkalinity (closed cell),Dickson et. al.. Determination of total alkalinity in sea water using a closed-cell titration.,FALSE,Other,Classical/non-instrumental analytical method
