ActivityID,Name,Name_EN,Description,Description_EN,Name_EN_Short
OEKS,Økosystemovervåking i store innsjøer (ØkoStor),Ecosystem monitoring in large lakes (ØkoStor),"Statlig miljøovervåking: Økosystemovervåking i store innsjøer (ØKOSTOR) startet i 2015. Totalt inngår 24 innsjøer i programmet. Hver innsjø skal undersøkes hvert 4. år. I fire av innsjøene gjennomføres et redusert program hvert år.  Formålet med programmet er å fastsette økologisk tilstand i sjøene, styrke datagrunnlaget for fastsettelse av referanseverdier for de ulike kvalitetselementene i store innsjøer og å tilpasse metodikk for overvåkning og klassifisering til bruk i store innsjøer. Disse kvalitetselementer undersøkes i innsjøene: Planteplankton, dyreplankton, bunndyr, vannplanter, fisk og fysisk-kjemiske parametere.","State environmental monitoring: Ecosystem monitoring in large lakes (ØKOSTOR) started in 2015. A total of 24 lakes are included in the program. Each lake is to be examined every 4 years. In four of the lakes, a reduced program is conducted annually. The purpose of the program is to determine ecological status in the lakes, strengthen the data basis for determining reference values for the various quality elements in large lakes and to adapt methodology for monitoring and classification for use in large lakes. These quality elements are examined in the lakes: Phytoplankton, zooplankton, benthic fauna, aquatic plants, fish and physico-chemical parameters.",Large Lake Ecosystem (ØkoStor)
OESA,Vannovervåking med satellitt (ØKOSAT),Water monitoring with satellite (ØKOSAT),Statlig miljøovervåking: Utvikling av komplementær metode for å måle vannkvalitetsparametre fra satellitt i innsjøer og kystvann for vanndirektivet.,State environmental monitoring: Development of complementary method for measuring water quality parameters from satellite in lakes and coastal waters for the Water Framework Directive.,Satellite Monitoring (ØKOSAT)
OMAS,Organiske miljøgifter i norsk avløpsslam,Organic environmental contaminants in Norwegian sewage sludge,,,Sewage Sludge Contaminants
PASV,Pasvikprogrammet,Pasvik program,"Vannovervåking i Pasvikvassdraget og innsjøer på Jarfjordfjellet (Pasvikprogrammet), Sør-Varanger kommune. Overvåkingen inngår i det trilaterale vannovervåkingsprogrammet for grenseområdet mellom Norge, Finland og Russland, og er en del av arbeidsprogrammet for den norsk-russiske miljøvernkommisjonen (DGS-1). Hovedformålet er å kartlegge virkninger av forurensning fra smelteverket i Nikel, Russland. ","Water monitoring in the Pasvik watercourse and lakes on Jarfjordfjellet (Pasvik program), Sør-Varanger municipality. The monitoring is part of the trilateral water monitoring program for the border area between Norway, Finland and Russia, and is part of the work program for the Norwegian-Russian environmental protection commission (DGS-1). The main purpose is to map effects of pollution from the smelter in Nikel, Russia.",Pasvik Program
PROB,Problemkartlegging,Problem investigation,"Overvåking iverksatt for å klarlegge årsaken til eventuelle overskridelser eller at vannforekomsten(e) ikke oppfyller miljømålene, jf. Vannforskriftens vedlegg V, avsnitt 1.3.3. Overvåkingen skal danne grunnlag for å utarbeide tiltaksprogram. Kan om nødvendig erstattes av tiltaksorientert overvåking når årsaksforholdene er klarlagt og det er behov for å iverksette tiltak.","Monitoring initiated to clarify the cause of any exceedances or that the water body(ies) do not meet environmental objectives, cf. Annex V of the Water Framework Directive, section 1.3.3. The monitoring shall form the basis for developing programs of measures. Can if necessary be replaced by measures-oriented monitoring when causal relationships are clarified and there is a need to implement measures.",Problem Investigation
RELV,Referanseelver,Reference rivers,"Statlig miljøovervåking: Overvåking av referanseelver omfatter vassdrag med ingen eller ubetydelig menneskelig påvirkning. Vassdragene er antatte referanselokaliteter. De overvåkes for å gi kunnskap om referansetilstand i ulike vanntyper og er en viktig del av basisovervåkingen som følger av Vannforskriften. Data fra overvåkingen brukes også til å verifisere og videreutvikle klassifiseringssystemet for miljøtilstand i vann. Parametergruppene som inngår i overvåkingen er miljøgifter, påvekstalger, bunndyr, fisk og vannkjemiske parametere.","State environmental monitoring: Monitoring of reference rivers includes watercourses with no or insignificant human impact. The watercourses are assumed reference sites. They are monitored to provide knowledge about reference conditions in different water types and are an important part of the baseline monitoring that follows from the Water Framework Directive. Data from the monitoring are also used to verify and further develop the classification system for environmental status in water. The parameter groups included in the monitoring are environmental contaminants, periphyton, benthic fauna, fish and water chemistry parameters.",Reference Rivers
RENS,Regional miljøovervåking på norsk sokkel,Regional environmental monitoring on the Norwegian shelf,Overvåking av bakgrunnsnivåer av forurensningskomponenter fra oljevirksomheten på norsk sokkel. Omfatter både referansestasjoner og regionale stasjoner.,Monitoring of background levels of pollution components from oil operations on the Norwegian shelf. Includes both reference stations and regional stations.,Offshore Regional
RIDD,Elvetilførselsprogrammet,River input program,"Statlig program for forurensningsovervåking: Overvåking av elvetilførsler til norske havområder (RID). Programmet gir en årlig kvantitativ vurdering av tilførsler til norske kystområder via vassdrag, arealavrenning og direkte utslipp av utvalgte forurensningskomponenter. Programmet ble avsluttet i 2016 og for en stor del videreført i Elveovervåkingsprogrammet.","State program for pollution monitoring: Monitoring of river inputs to Norwegian sea areas (RID). The program provides an annual quantitative assessment of inputs to Norwegian coastal areas via watercourses, area runoff and direct discharges of selected pollution components. The program was terminated in 2016 and largely continued in the River monitoring program.",River Input (RID)
SCRE,Kartlegging av nye miljøgifter,Mapping of new environmental contaminants,"Statlig program for forurensningsovervåking: Kartlegging (screening) av utvalgte nye miljøgifter. Programmet skal bidra til tidlig varsling av mulige problemer om potensielt helse- og miljøfarlige stoffer, og skal gi grunnlag for å avgjøre om et stoff bør innlemmes i langsiktige overvåkingsprogrammer. ","State program for pollution monitoring: Mapping (screening) of selected new environmental contaminants. The program shall contribute to early warning of possible problems about potentially health and environmentally hazardous substances, and shall provide a basis for deciding whether a substance should be included in long-term monitoring programs.",Screening New Contaminants
SJOM,Sjømatdata,Seafood data,"Program for dokumentasjon og overvåkning ved NIFES startet i 1994. Målet er å tilfredsstille behov for uavhengig data for Mattilsynet, fiskerimyndigheter, fiskeribransjen, oppdrettsindustrien, og matvaremarkeder. Det jobbes også for å etablere trender over tid, og avdekke mulige forskningsområder. Omfatter også prosjektet ”Basisundersøkelser av fremmedstoffer i viktige fiskearter i perioden 2009–2010” finansiert av Fiskeri- og havbruksnæringens forskningsfond (FHF).","Program for documentation and monitoring at NIFES started in 1994. The goal is to satisfy needs for independent data for the Food Safety Authority, fisheries authorities, the fisheries industry, the aquaculture industry, and food markets. Work is also done to establish trends over time, and uncover possible research areas. Also includes the project ""Basic investigations of contaminants in important fish species in the period 2009–2010"" financed by the Research Fund for the Fisheries and Aquaculture Industry (FHF).",Seafood Data
SKYT,Overvåking av påvirkning fra skytefelt,Monitoring of impact from firing ranges,Overvåking av forsvarets skyte- og øvingsfelt,Monitoring of the Armed Forces' firing and training ranges,Firing Range Impact
SOFP,Samordnet overvåking av flere påvirkninger,Coordinated monitoring of multiple impacts,Lokal eller regional overvåking etablert som resultat av et spleiselag mellom statlige myndigheter og forurenser. Denne overvåkingsaktiviteten dekker flere typer påvirkninger.,Local or regional monitoring established as a result of cost-sharing between state authorities and polluter. This monitoring activity covers several types of impacts.,Multiple Impact Coordination
SPFO,Statlig program 1980-2000,State program 1980-2000,Basisundersøkelser og rutineovervåking av enkeltresipienter i regi av Statlig program for forurensingsovervåking (SPFO) i tidsrommet 1980 - 2000. Finansiert utelukkende med statlige midler.,Basic surveys and routine monitoring of individual recipients under the State program for pollution monitoring (SPFO) in the period 1980 - 2000. Financed exclusively with state funds.,State Program 1980-2000
SUKK,Sukkertareovervåkingsprogrammet,Sugar kelp monitoring program,Statlig program for forurensningsovervåking: Miljøovervåking av sukkertare langs norskekysten er et miljøovervåkingsprogram for indre kystområder med fokus på sukkertare. Programmet ble avsluttet i 2012 og er videreført i programmet ØkoKyst fra og med 2013.,State program for pollution monitoring: Environmental monitoring of sugar kelp along the Norwegian coast is an environmental monitoring program for inner coastal areas with focus on sugar kelp. The program was terminated in 2012 and continued in the ØkoKyst program from 2013.,Sugar Kelp
TILF,Tilførselsprogrammet,Input program,"Statlig program for forurensningsovervåking: Overvåking av tilførsler av miljøfarlige stoffer til forvaltningsplanområdene Barentshavet, Norskehavet og Nordsjøen. Programmet ble avsluttet i 2013. Overvåkingen av havforsuring er videreført i eget program for havforsuringsovervåking.","State program for pollution monitoring: Monitoring of inputs of environmentally hazardous substances to the management plan areas Barents Sea, Norwegian Sea and North Sea. The program was terminated in 2013. Ocean acidification monitoring is continued in a separate program for ocean acidification monitoring.",Marine Input
TILT,Tiltaksorientert overvåking,Measures-oriented monitoring,"Overvåking for å fastslå tilstanden til vannforekomster som anses å stå i fare for ikke å nå miljømålene, og vurdere eventuelle endringer i tilstanden til slike vannforekomster som følge av tiltaksprogrammer, jf. Vannforskriftens vedlegg V, avsnitt 1.3.2. Overvåkingen vil være kjennetegnet ved et større antall overvåkingslokaliteter med hyppig prøvetakingsfrekvens, hvor overvåkingen er konsentrert om de biologiske kvalitetselementene eller det hydromorfologiske kvalitetselementet som er mest følsomt for den identifiserte belastningen.","Monitoring to determine the condition of water bodies considered to be at risk of not achieving environmental objectives, and assess any changes in the condition of such water bodies as a result of programs of measures, cf. Annex V of the Water Framework Directive, section 1.3.2. The monitoring will be characterized by a larger number of monitoring sites with frequent sampling frequency, where monitoring is concentrated on the biological quality elements or the hydromorphological quality element that is most sensitive to the identified pressure.",Measures Monitoring
TRUA,Overvåking av trua arter,Monitoring of threatened species,"Overvåking av utvalgte trua arter, bl.a. elvemusling, damfrosk og ferskvannskreps.","Monitoring of selected threatened species, including freshwater pearl mussel, pool frog and noble crayfish.",Threatened Species
VASS,Effekter av vassdragsinngrep,Effects of watercourse interventions,Myndighetspålagt overvåking fastsatt i konsesjon eller krav om konsekvensutredning etter Plan- og bygningsloven. Gjelder særlig overvåking av effekter etter vannkraftutbygginger.,Authority-mandated monitoring specified in concession or requirement for impact assessment according to the Planning and Building Act. Particularly applies to monitoring of effects after hydropower developments.,Watercourse Interventions
WALI,Watch List,Watch List,Overvåkingslisten for overflatevann under Vanndirektivet («Watch List») er et verktøy for å samle inn gode data om nye stoffer som kan være en risiko for vannmiljøet i EU. Listen brukes når vi har for lite informasjon til å vite hvor stor risikoen faktisk er.,"The monitoring list for surface water under the Water Framework Directive (""Watch List"") is a tool for collecting good data on new substances that may be a risk to the water environment in the EU. The list is used when we have too little information to know how great the risk actually is.",Watch List
YOFJ,Overvåking av Ytre Oslofjord,Monitoring of Outer Oslofjord,"Miljøovervåkning i Ytre Oslofjord gjennomføres i regi av Fagrådet for Ytre Oslofjord. Overvåkningen er del av et omfattende program som har pågått siden 2001, og det gjennomføres i programperioder av fem år. Området som undersøkes er avgrenset av Drøbaksterskelen mot Indre Oslofjord, Grenlandsområdet i vest og Iddefjorden i øst.","Environmental monitoring in Outer Oslofjord is conducted by the Advisory Council for Outer Oslofjord. The monitoring is part of an extensive program that has been ongoing since 2001, and is conducted in program periods of five years. The area being examined is bounded by the Drøbak sill towards Inner Oslofjord, the Grenland area in the west and the Iddefjord in the east.",Outer Oslofjord
