Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Car Tire Crumb Rubber: Does Leaching Produce a Toxic Chemical Cocktail in Coastal Marine Systems?,"Halsband, C; Sorensen, L; Booth, AM; Herzke, D","Crumb rubber granulate (CRG) produced from end of life tires (ELTs) is commonly applied to synthetic turf pitches (STPs), playgrounds, safety surfaces and walkways. In addition to fillers, stabilizers, cross-linking agents and secondary components (e.g., pigments, oils, resins), ELTs contain a range of other organic compound and heavy metal additives. While previous environmental impact studies on CRG have focused on terrestrial soil and freshwater ecosystems, many sites applying CRG in Norway are coastal. The current study investigated the organic chemical and metal additive content of 'pristine' and 'weathered' CRG and their seawater leachates, as well as uptake and effects of leachate exposure using marine copepods (AcartiaandCalanussp.). A combination of pyrolysis gas chromatography mass spectrometry (py-GC-MS) and chemical extraction followed by GC-MS analysis revealed similar organic chemical profiles for pristine and weathered CRG, including additives such as benzothiazole,N-1,3-dimethylbutyl-N '-phenyl-p-phenylenediamine and a range of polycyclic aromatic hydrocarbons (PAHs) and phenolic compounds (e.g., bisphenols). ICP-MS analysis revealed g kg(-1) quantities of Zn and mg kg(-1)quantities of Fe, Mn, Cu, Co, Cr, Pb, and Ni in the CRG. A cocktail of organic additives and metals readily leached from the CRG into seawater, with the most abundant leachate components being benzothiazole and Zn, Fe, Co (metals), as well as detectable levels of PAHs and phenolic compounds. Concentrations of individual components varied with CRG source material and CRG to seawater ratio, but benzothiazole and Zn were typically the organic and metal components present at the highest concentrations in the leachates. While organic chemical concentrations in the leachates stabilized within days, metals continued to leach out over the 30-day period. Marine copepods exposed to high CRG leachate concentrations exhibited high mortalities within 48 h. The smaller lipid-poorAcartiahad a higher sensitivity to leachates than the larger lipid-richCalanus, indicating species-specific differences in vulnerability to leachates. The effect on survival was alleviated at lower leachate concentrations, indicating a dose-response relationship. Benzothiazole and its derivatives appear to be of concern owing to their proven toxicity, while bisphenols are also known to be toxic and were enriched in the leachates relative to the other compounds in the CRG.",2020,,FRONTIERS IN ENVIRONMENTAL SCIENCE,8,,,WOS:000560307900001,10.3389/fenvs.2020.00125,,#287,Halsband 2020,"Sam Welch (2025-07-18 18:24:12)(Select): this is technically a lab/effects study, but to my eye they show Cu leaching from tire crumb rubber to seawater, so it's probably relevant ; ",biota; marine; terrestrial
"Applying Chemometrics to Determine Dispersion of Mine Tailing-Affected Sediments from Submarine Tailing Disposal in Bokfjorden, Northern Norway","Simonsen, AMT; Pedersen, KB; Bach, L; Sternal, B; Junttila, J; Elberling, B","Mine tailing management is one of the largest environmental issues related to mining operation. This study uses chemometrics to assess the dispersion of iron mine tailing-affected sediments in Bokfjorden, Northern Norway. Metal concentrations (Al, As, Cd, Cr, Cu, Fe, Mn, Ni, Pb, Zn) and physico-chemical sediment characteristics (conductivity, organic matter, sulphate, chloride, grain size, CaCO3, pH) were analysed in seven sediment cores collected in a transect out of the fjord along with two reference cores. Results of hierarchical cluster analysis and principal component analysis allowed to distinguish between mine tailing-affected and non-affected sediments. Non-affected sediments were especially characterised by high levels of organic matter whilst mine tailing-affected sediments varied significantly in sediment characteristics depending on location in the fjord. Crucial parameters to reveal mine tailing-affected sediments varied between the target metal Fe along with metals of Cd and Mn, albeit less significant. Variations in mine tailing-affected sediment characteristics could be attributed to other anthropogenic activities in the fjord. Despite potential disturbances, chemometrics made it possible to identify dispersion of mine tailing-affected sediments to cover the inner and middle parts of the fjord. The study demonstrates the advantage of applying chemometrics on complex fjord systems, which in this case was used to distinguish mine tailing-affected sediments from areas with elevated levels of metals not necessarily related to the mine.",2018,,WATER AIR AND SOIL POLLUTION,229,6,,WOS:000435497500024,10.1007/s11270-018-3868-0,,#295,Simonsen 2018,,Cu environmental chemistry; marine; primary source; sediment
"Evaluation of the use of common sculpin (Myoxocephalus scorpius) organ histology as bioindicator for element exposure in the fjord of the mining area Maarmorilik, West Greenland","Sonne, C; Bach, L; Sondergaard, J; Riget, FF; Dietz, R; Mosbech, A; Leifsson, PS; Gustayson, K","The former Black Angel lead zinc mine in Maarmorilik, West Greenland, is a historic example of how mining activity may result in a significant impact on the surrounding fjord system in terms of elevated concentrations of especially lead (Pb) and zinc (Zn) in seawater, sediments and surrounding biota. In order to shed light on the present contamination and possible effects in the fjord we initiated a range of studies including a pilot study on gill and liver morphology of common sculpins (Myoxocephalus scorpius) around Maarmorilik. Sculpins were caught and sampled at five different stations known to represent a gradient of Pb concentrations. Fish livers from all specimens were analyzed for relevant elements in the area: Fe, Zn, As, Cu, Se, Cd, Pb, Ag, Hg, Co and Ni. Lead, As and Hg showed significant differences among the five stations. For 20% of the sculpins, Hg concentrations were in the range of lowest observed effect dose (LOED) of 0.1-0.5 mu g/g ww for toxic threshold on reproduction and subclinical endpoints. Likewise LOEDs for tissue lesions, LOEDs for biochemistry, growth, survival and reproduction were exceeded for Cd (0.42-1.8 mu g/g ww) and for As (11.6 mu g/g ww) in 28% and 85% of the sculpins, respectively. Similar to this, the no observed effect dose (NOED) for biochemistry was exceeded for Pb (0.32 mu g/g ww) and for growth, mortality and reproduction for Zn (60-68 mu g/g ww) in 33% and 24% of the sculpins, respectively. For all sculpins, females were significantly larger than males and for five of the elements (Fe, Co, Ni, Cu, Se) females had higher concentrations. The chronic lesions observed in liver (mononuclear cell infiltrates, necrosis, vacuolar hepatocytes, portal fibrosis, bile duct hyperplasia, active melanomacrophage centers) and gills (fusion and edema of secondary lamellae, laminar telangiectasis, mononuclear cell infiltrates, blebs) were similar to those in the literature studies for both wild and laboratory exposed sculpins and other fish species carrying similar or higher Hg concentrations. Ignoring sex and size, specimens with hepatic cell infiltrates had the highest concentrations of most elements, a relation that was also found for gill telangiectasis and Hg (all p < 0.05). When controlling for sex and size, the prevalence of vacuolar hepatocytes and endoparasites was significantly highest at the three most contaminated stations and similar differences were found for liver necrosis. We suggest that beside exposure to mining-related elements, other environmental factors, such as parasites, might be co-factors in the development of the observed liver and gill lesions. Therefore, sculpin liver and gill pathology are likely to be suitable health indicators when biomonitoring gradients of mining and other element related activity effects; while a larger study is required to fully evaluate the relationships. (C) 2014 Elsevier Inc. All rights reserved.",2014,,ENVIRONMENTAL RESEARCH,133,,304-311,WOS:000339705900039,10.1016/j.envres.2014.05.031,,#303,Sonne 2014,,Cu biology; biota; marine; primary source
"Element concentrations, histology and serum biochemistry of arctic char (Salvelinus alpinus) and shorthorn sculpins (Myoxocephalus scorpius) in northwest Greenland","Norregaard, RD; Bach, L; Geertz-Hansen, O; Nabe-Nielsen, J; Nowak, B; Jantawongsri, K; Dang, M; Sondergaard, J; Leifsson, PS; Jenssen, BM; Ciesielski, TM; Arukwe, A; Sonne, C","The increasing exploratory efforts in the Greenland mineral industry, and in particular, the proposed rare earth element (REE) mining projects, requires an urgent need to generate data on baseline REE concentrations and their potential environmental impacts. Herein, we have investigated REE concentrations in anadromous Arctic char (Salvelinus alpinus) and shorthorn sculpins (Myoxocephalus scorpius) from uncontaminated sites in Northwest Greenland, along with the relationships between the element concentrations in gills and liver, and gill histology and serum biochemical parameters. Concentrations of arsenic, silver, cadmium, cerium, chromium, copper, dysprosium, mercury, lanthanum, neodymium, lead, selenium, yttrium, and zinc in gills, liver and muscle are presented. No significant statistical correlations were observed between element concentrations in different organs and gill histology or serum biochemical parameters. However, we observed positive relationships between age and histopathology, emphasizing the importance of including age as a co-variable in histological studies of fish. Despite no element-induced effects were observed, this study is considered an important baseline study, which can be used as a reference for the assessment of impacts of potential future REE mine sites in Greenland.",2022,,ENVIRONMENTAL RESEARCH,208,,,WOS:000752033300007,10.1016/j.envres.2022.112742,,#308,Norregaard 2022,,Cu biology; biota; marine; primary source
Evaluation of trace metal toxicokinetics in Greenland Sea copepod and amphipod collectives from semi-static experiments on board ship,"Ritterhoff, J; Zauke, GP","Semi-static toxicokinetic experiments were performed during a cruise of RV ''Polarstern'' to the Greenland Sea for Cd, Pb, Cu and Zn in mesozooplankton collectives of Calanus hyperboreus, C. finmarchicus, Metridia longa and Themisto abyssorum, to provide first tentative information on accumulation strategies and the experimental basis for estimation of kinetic parameters of two-compartment models. This is an inevitable precondition for using these organisms as biomonitors. Our results indicate a net accumulation strategy for Cu and Pb (within the given experimental constraints), but a tendency for regulation of Zn and especially for Cd. Two-compartment models were successfully fitted to the data, leading to rate constants statistically different from zero, which were validated by independent experiments. An extrapolation to field conditions is not possible without further evaluation. The collectives investigated may be regarded as potentially suitable biomonitors of Cu and Pb, but probably not of Zn and Cd. More information is required for a wider range of external metal exposures and the potential influences of life-history status on metal toxicokinetics must be clarified, before this approach can be fully adopted in the assessment of environmental quality.",1997,,POLAR BIOLOGY,17,3,242-250,WOS:A1997WJ46800007,10.1007/s003000050128,,#324,Ritterhoff 1997,,Cu biology; biota; lab study; marine; pre-2010; primary source
"Potential influence of rapid climate change on elemental geochemistry distributions in lacustrine sediments-A case study at a high Arctic site in Ny-Alesund, Svalbard","Yang, ZK; Zhang, YA; Xie, ZQ; Wang, J; Li, ZL; Li, YQ; Du, JL; Sun, LG","Metal contamination has become an increasingly severe environmental issue due to intense anthropogenic activities in recent decades. Many studies have reported a rapidly increasing trend of heavy metal contents in sedimentary records. In this study, two lacustrine sediment cores (LDL and YL) far away from scientific research stations were collected in Ny-Alesund and analyzed for the vertical distributions of 17 elemental concentrations (Cu, Zn, Pb, Co, Ni, Cr, Sr, Ba, Mn, P, Ti, K2O, Na2O, CaO, MgO, Fe2O3, Al2O3), CIA and TOC contents. The results indicated that only the proxies Pb, P, CaO, TOC, and CIA showed an increasing trend in the upper 7 cm section of the sediment cores, while most of the elements' concentrations decreased towards the surface. The rapid increase of TOC contents is likely related to the climate warming over the past 200 years, which promotes the prosperity of vegetation and thus leads to more input of organic matter into the lakes. Moreover, a large number of seabirds live around the sampling position and the seabird guano contains high concentrations of P, which could be regarded as an important nutrient source for vegetation. Additionally, the rapid climate warming could accelerate the chemical weathering rates, and thus lead to increased CaO contents in the sediment profiles according to its geological background. Therefore, the concentrations of other elements are very likely diluted by the high contents of organic matter and CaO in the upper part of the sediment cores. It is noteworthy that the rapidly increasing trend of Pb contents are related to the gas-oil powered generators in Ny-Alesund and long-range atmospheric transport from Europe. This study highlighted the nonnegligible influence of climate warming on the inorganic elemental geochemistry distributions in remote lakes. (C) 2021 Elsevier B.V. All rights reserved.",2021,,SCIENCE OF THE TOTAL ENVIRONMENT,801,,,WOS:000704393400008,10.1016/j.scitotenv.2021.149784,,#328,Yang 2021,,Cu environmental chemistry; freshwater; sediment; terrestrial
"Metal residues, histopathology and presence of parasites in the liver and gills of fourhorn sculpin (Myoxocephalus quadricornis) and shorthorn sculpin (Myoxocephalus scorpius) near a former lead-zinc mine in East Greenland","Dang, M; Norregaard, R; Bach, L; Sonne, C; Sondergaard, J; Gustavson, K; Aastrup, P; Nowak, B","Fourhorn sculpins (Myoxocephalus quadricornis) and shorthorn sculpins (Myoxocephalus scorpius) have been considered suitable local bioindicators for environmental monitoring studies in the Arctic. Because these species share many characteristics, data from the two species have previously been pooled when assessing marine metal contamination. A chemical and histological study was conducted on fourhorn and shorthorn sculpins collected around a contaminated lead-zinc mine at East Greenland to investigate whether there were any differences in the residues of metals, histopathology and parasites in liver and gills between the two sculpin species. The results demonstrated that concentrations of copper (Cu), zinc (Zn), mercury (Hg) and lead (Pb) were significantly higher in the fourhorn sculpins (p < 0.001) while there were no significant differences for arsenic (As) or cadmium (Cd). Furthermore, density of blood vessel fibrosis (p=0.028), prevalence and density of chondroplasia (p=0.002 and p=0.005, respectively), number of mucin-containing mucous cells (p < 0.001) and chloride cells (p < 0.001) and mean intensity of colonial Peritricha (p < 0.001) were significantly higher in fourhorn sculpin. Based on these results we suggest that pooling the two species when conducting environmental assessments is not recommended as it can lead to incorrect conclusions. We propose that a larger study investigating the biological effects of zinc-lead mining in Greenland is needed.",2017,,ENVIRONMENTAL RESEARCH,153,,171-180,WOS:000392366500022,10.1016/j.envres.2016.12.007,,#348,Dang 2017,,Cu biology; biota; freshwater; terrestrial
Trace elements in alpine and arctic lake sediments as a record of diffuse atmospheric contamination across Europe,"Camarero, L; Botev, I; Muri, G; Psenner, R; Rose, N; Stuchlik, E","P> We surveyed the distribution of several trace elements in contemporary and pre-industrial sediment s in 275 lakes in alpine and arctic lake districts across Europe including the Pyrenees, Alps, the Rila Mountains, Retezat, Julian Alps, Tatras, Scottish mountains, Central Norway and Greenland.Sediment cores were collected at the deepest part of each lake and analysed at two depths (surface sediment and at 15-17 cm depth) for Ti, Pb, Cd, Zn, Cu, As, Hg and Se.The concentrations of trace elements found in the lakes included in the survey are comparable to those reported in aquatic sediments receiving higher contamination loads. With the exception of Greenland, a large percentage of lakes showed enrichment factors for most elements well above 1.5, indicating atmospheric contamination. The influence of contamination has increased the co-distribution of trace elements in sediments, with the exception of As.Pb is the element that shows the highest contamination level at the European scale, followed by Hg and As. Zn, Cd, Cu and Se contamination is detectable to a lower degree.The Tatra Mountains and Scotland seem to be most affected. Natural mechanisms leading to the formation of highly organic, metal-binding sediments may be the cause of the high levels in Scotland, whereas those in the Tatras appear to be due to elevated deposition.The Retezat and Central Norway appear to be least polluted.In the Alps, enrichments in Pb, Hg and Zn are higher in southern than in central areas suggesting a flux of these pollutants from the south. In the Pyrenees, the high natural levels of As are remarkable. Metal enrichments in the Rila Mountains are comparable to those in the Tatras, but concentrations are much lower.In general terms, the increase in trace elements in modern with respect to pre-industrial sediments reflects the history of a long range contamination affecting the remotest locations in Europe.",2009,,FRESHWATER BIOLOGY,54,12,2518-2532,WOS:000271710100006,10.1111/j.1365-2427.2009.02303.x,,#350,Camarero 2009,PIERRE  BLEVIN (2025-07-14 22:08:03)(Screen): Freshwater but might be seen as a source?; ,air; pre-2010; primary source; terrestrial
Elemental analysis of soils and Salix polaris in the town of Pyramiden and its surroundings (Svalbard),"Krajcarová, L; Novotny, K; Chattová, B; Elster, J","The contents of elements in the top soil (upper 5 cm) and deeper soil (5 to 10 cm) layers and in Salix polaris (leaves and stem) from the former Soviet mining town of Pyramiden and its close vicinity on the Svalbard archipelago were determined. The analyses covered major and trace elements, including heavy metals, in order to describe anthropogenic impacts related to the management of the mining town. Soil samples and plant tissues were analysed from 13 localities across and close to town vicinity. The plant ground cover of all sampling points was determined, and plant tissues (leaves and stem) were collected. Higher contents of Cd (3-11 mg kg(-1)) and Mo (11-33 mg kg(-1)) were detected in the soils. With relation to the world average concentration of metals in soils, the geo-accumulation indexes (I-geo) and the level of pollution of the analysed soils were classified into seven pollution grades. The soils of the studied localities were usually unpolluted (grade 1) when analysed for metals, with the soil pollution grades 4-6 identified only for Cd and Mo (moderately to strongly polluted). In Salix polaris, excessive amounts of Fe (60-1520 mg kg(-1)), Zn (80-1050 mg kg(-1)), Cd (0.2-5.5 mg kg(-1)) and Cr (0-3.6 mg kg(-1)) were observed. The I-geo of these elements, compared with values considered sufficient for plants, showed pollution grades from 2 to 6. The pollution load index (PLI) ranged between 0.49 and 1.01. Only one locality could be considered polluted having a PLI higher than 1. Plant/soil transfer factors (TF) for trace metals decreased in the following order: Zn > Cu > Cd > Mn > Ni > As > Mo > Pb > Co > Al > Cr > Fe. The principal contribution of this study consists in the assessment of the contamination of soils and plants by toxic heavy metals in an otherwise pristine environment of the Svalbard archipelago related to urban/industrial activities.",2016,,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,23,10,10124-10137,WOS:000376421400081,10.1007/s11356-016-6213-4,,#353,Krajcarová 2016,,biota; primary source; terrestrial
"Metal accumulation and metallothionein in brown trout, Salmo trutta, from two Norwegian rivers differently contaminated with Cd, Cu and Zn","Olsvik, PA; Gundersen, P; Andersen, RA; Zachariassen, KE","In this work we have studied the accumulation of heavy metals in two brown trout (Salmo trutta) populations in their natural environment and the participation of metal binding to metallothionein (MT) in this process. Cd, Cu and Zn concentrations, total MT (including Cu MT) and Cd/Zn MT were measured in the gills, liver and kidney of trout inhabiting two rivers, one Cu-contaminated and the other Cd/Zn-contaminated, located at Roros, Central Norway. In both populations, high levels of Cu were found in the liver, whereas Cd was accumulated in liver and particularly in the kidney. The proportions of Cd/Zn MT and Cu MT in liver and kidney, but not in gills, reflected the accumulated and the environmental concentrations of these metals. The total. Cu MT concentrations in the investigated tissues, however, were highest in trout from the river with the lowest ambient Cu concentration. It is suggested that MTs are of less importance in Cu-acclimated trout. The data also suggest that acclimation to a Cu-rich environment involves reduced Cu accumulation or increased Cu elimination. In trout from the Cd-rich environment, this metal was mainly bound to MT, whereas in trout from the Cu-rich environment Cd was also associated with non-MT proteins. These findings emphasize the importance to determine both Cd/Zn MT and Cu MT levels, when the participation of this protein in metal handling in trout tissues is investigated. (C) 2001 Elsevier Science Inc. All rights reserved.",2001,,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,128,2,189-201,WOS:000167292600006,10.1016/S1532-0456(00)00191-5,,#356,Olsvik 2001,PIERRE  BLEVIN (2025-07-17 04:14:40)(Screen): freshwater but might be seen as a source of marine ecosystem?; ,Cu biology; biota; freshwater; pre-2010; primary source
Gill metal binding and stress gene transcription in brown trout (Salmo trutta) exposed to metal environments:: The effect of pre-exposure in natural populations,"Hansen, BH; Garmo, OA; Olsvik, PA; Andersen, RA","Brown trout (Salmo trutta) from two native populations from the Roros area in Central Norway, acclimated in mining-affected habitats to different levels of Cd/Zn and Cu, together with trout from a nearby unaffected river (reference) were transferred to a nearby lake with higher levels of Cu, Cd, and Zn than those in their respective native rivers. This experiment was conducted to gain information about the underlying resistance mechanisms developed in fish exposed to metal environments. The focus was on gill metal accumulation and transcription of the metal-responsive stress genes metallothionein-A (MT-A), Cu/Zn-superoxide dismutase (SOD), catalase (CAT), glutathione peroxidase (GPx), glutathione reductase (GR), and heat shock protein 70 (HSP-70). The only shared response shown between the three groups after transfer were Cu accumulation and MT-A induction. The Cu-acclimated trout produced mucus to reduce the uptake of Cu into the gills. The MT-A levels were highest in the Cd/Zn-acclimated trout both before and after transfer. Before transfer, antioxidant transcription (SOD and GPx) was higher in gills of Cu-acclimated compared to the Cd/Zn-acclimated trout, but increased transcription of antioxidant stress genes was observed after transfer in both metal-acclimated groups. The metal-acclimated trout groups also showed an increase in the transcription of HSP-70. Compared to the reference population not previously exposed to metals, stress gene transcription increased faster in the metal-acclimated populations. The exception was induction of CAT, which appeared to be depressed after transfer in Cd/Zn-acclimated trout. The data indicate that acclimation to chronic metal exposure involves different strategies to cope with different metals and that these strategies involve both physiological mechanisms (mucus production) as well as metal-related stress gene transcription.",2007,,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,26,5,944-953,WOS:000245749500016,10.1897/06-380R.1,,#360,Hansen 2007,Sam Welch (2025-07-11 21:17:10)(Screen): principally biomarker study but may be worthwhile if include tissue concentrations; ,biota; effects study; pre-2010
Monitoring strategies for re-establishment of ecological reference conditions: Possibilities and limitations,"Alve, E; Lepland, A; Magnusson, J; Backer-Owe, K","The ecological status of an environment should be evaluated by comparison with local ""reference conditions"", here defined as the pre-industrial ecological status of the 19th century. This pilot study illustrates how micropalaeontological monitoring, using benthic foraminifera (protists) and associated geochemical parameters preserved in inner Oslofjord (Norway) sediments, characterise local reference conditions. In order to optimise the usefulness of the ecological information held by foraminifera and enable characterisation of temporal changes in environmental quality beyond time intervals covered by biological time-series, the Norwegian governmental macrofauna-based classification system is applied on fossil benthic foraminiferal assemblages. Quantitative comparisons demonstrate deteriorating ecological status in response to increased anthropogenic forcing (eutrophication, micropollutants), including a 73% loss in number of foraminiferal species. Despite reduced pollution during the past decades and, at one site, capping of polluted sediments with clean clay, the reference conditions are far from re-established. Micropalaeontological monitoring requires net sediment accumulation basins and careful considerations of taphonomic processes. (C) 2009 Elsevier Ltd. All rights reserved.",2009,,MARINE POLLUTION BULLETIN,59,08-Dec,297-310,WOS:000272120100008,10.1016/j.marpolbul.2009.08.011,,#363,Alve 2009,Sam Welch (2025-07-15 16:34:58)(Select): It does.; PIERRE  BLEVIN (2025-07-09 21:33:30)(Screen): need to check if this includes Cu; ,biota; marine; pre-2010; sediment
"Transport of Air Masses and Pollutants to the Russian Arctic Islands (1986-2016): Long-Term, Interannual, and Seasonal Variations","Vinogradova, AA; Ivanova, YA","The Arctic is the most important, as well as the most vulnerable, region in the Northern Hemisphere with respect to climate changes. It is natural that climate changes observed on the globe in recent decades affect the environment in northern regions and processes determining climate. An analysis of time variations in these processes is important in understanding observed phenomena and in estimating their possible consequences. In this work, 30-year data series on the frequency of air-mass transport from Europe, Asia, and North America to the Arctic archipelagos of Franz Josef Land and Severnaya Zemlya and Wrangel Island have been analyzed, and statistical regularities observed in atmospheric-circulation processes in different seasons have been studied using atmospheric-circulation indices. The atmospheric concentrations of anthropogenic heavy metals (HMs) and their fluxes onto the surface of the Russian Arctic islands have been analyzed. The frequency of air-mass transport to the Russian Arctic from the continents has decreased over the last 30 years. Therefore, the composition of the atmosphere and precipitation over the Arctic becomes more and more maritime, which may affect variations in the properties of surface natural objects such as soil, water, vegetation, etc. Interannual variations in atmospheric-circulation processes are wide, which results in wide interannual variations in the atmospheric concentrations of anthropogenic HMs and their fluxes onto the surface. This also explains interannual variations in the content of HMs accumulated in the snow cover every year during the snowy season. Within some months and years, the maximum concentrations of nickel and copper in the air and snow cover of the Arctic islands may reach their concentration levels observed in less remote regions on the mainland. On the other hand, there are years, when no anthropogenic pollutants are transported to the Russian Arctic islands during the summer months. The main reason for seasonal variations in the concentrations of anthropogenic pollutants in the Arctic regions is in seasonal variations in the rate of precipitation of HMs onto the surface during their long-range transport.",2018,,IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS,54,7,688-699,WOS:000454419000007,10.1134/S0001433818070174,,#365,Vinogradova 2018,,air; marine; terrestrial
Heavy metal content in liver and kidneys of grey seals (Halichoerus grypus) in various life stages correlated with metallothionein levels:: Some metal-binding characteristics of this protein,"Teigen, SW; Andersen, RA; Daae, HL; Skaare, JU","Liver and kidneys from grey seals (Halichoerus grypus) in their natural habitats in Norwegian waters contain high levels of Cd and Hg as well as metallothionein (MT). The data show significant placental transfer of heavy metals in seals. The MT concentrations were higher in fetus liver and kidneys than in the liver and kidneys of juveniles and adults. A significantly higher proportion of the total Cd and Cu, as compared to Zn and Hg, in fetal liver was associated with MT. Only low amounts of metals and MT were found in juveniles. In kidneys, little metal was associated with MT, although high amounts of Cd were bound in fetal stages. Positive correlations were found between total metal, MT content, and MT-bound metals, particularly for Cd and Zn. Grey seal MT may have higher affinity to Zn than to Cd. The use of seal MT as a biomarker for environmental heavy metal exposure seems promising.",1999,,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,18,10,2364-2369,WOS:000082814500034,10.1002/etc.5620181034,,#367,Teigen 1999,,Cu biology; biota; marine; pre-2010; primary source
Waste Combustion Releases Anthropogenic Nanomaterials in Indigenous Arctic Communities,"Gigault, J; Guilmette, C; Cai, HW; Carrier-Belleau, C; Le Bagousse, M; Luthi-Maire, A; Gibaud, M; Decaulne, A; Alam, M; Baalousha, M","Arctic autochthonous communities and the environment face unprecedented challenges due to climate change and anthropogenic activities. One less-explored aspect of these challenges is the release and distribution of anthropogenic nanomaterials in autochthonous communities. This study pioneers a comprehensive investigation into the nature and dispersion of anthropogenic nanomaterials within Arctic Autochthonous communities, originating from their traditional waste-burning practices. Employing advanced nanoanalytical tools, we unraveled the nature and prevalence of nanomaterials, including metal oxides (TiO2, PbO), alloys (SnPb, SbPb, SnAg, SnCu, SnZn), chromated copper arsenate-related nanomaterials (CuCrO2, CuCr2O4), and nanoplastics (polystyrene and polypropylene) in snow and sediment near waste burning sites. This groundbreaking study illuminates the unintended consequences of waste burning in remote Arctic areas, stressing the urgent need for interdisciplinary research, community engagement, and sustainable waste management. These measures are crucial to safeguard the fragile Arctic ecosystem and the health of autochthonous communities.",2024,,ENVIRONMENTAL SCIENCE & TECHNOLOGY,58,34,15170-15180,WOS:001291841200001,10.1021/acs.est.4c02598,,#368,Gigault 2024,,air; primary source; terrestrial
"The influence of seabirds on the concentration of selected heavy metals in organic soil on the Bellsund coast, western Spitsbergen","Ziólek, M; Bartminski, P; Stach, A","Seabirds are an important factor affecting the chemical properties of the arctic soil environment. The objective of this work was to study the differences in content and distribution of heavy metals in organic soils resulting from the differential influence of seabirds. Studies were conducted in two stations in the southwest part of Spitsbergen-the first without the influence of seabirds and the second directly affected by an avian colony. Basic properties of soils as well as total content of Ca, Na, Mg, K, Fe, Al, Cu, Zn, Ni, Mn, Pb, Cd, Co, and Cr were determined. Reference was made to the previously published contents of different forms of phosphorus (P) for these locations. The studies showed that Zn, Mn, Cu, and Cd contents were higher in the soils that had been in the vicinity of the seabird colony. High statistically positive correlations of Cd, Cu, and Zn were noted with particular P forms. In the case of Pb, Cr, Co, and Ni content, the seabird influence was not dominant; probably other factors were more relevant (the processes of weathering, denudation, leaching, and atmospheric pollutants transported in the form of dust or gases). Clear segregation was observed of individual positions conditioned by selected soil features and by heavy metals content.",2017,,ARCTIC ANTARCTIC AND ALPINE RESEARCH,49,4,507-520,WOS:000413931200001,10.1657/AAAR0016-024,,#379,Ziólek 2017,,Cu biology; primary source; terrestrial
An integrative biological effects assessment of a mine discharge into a Norwegian fjord using field transplanted mussels,"Brooks, SJ; Escudero-Oñate, C; Gomes, T; Ferrando-Climent, L","The blue mussel (Mytilus sp.) has been used to assess the potential biological effects of the discharge effluent from the Omya Hustadmarmor mine, which releases its tailings into the Fraenfjord near Molde, Norway. Chemical body burden and a suite of biological effects markers were measured in mussels positioned for 8 weeks at known distances from the discharge outlet. The biomarkers used included: condition index (CI); stress on stress (SoS); micronuclei formation (MN); acetylcholine esterase (AChE) inhibition, lipid peroxidation (LPO) and Neutral lipid (NL) accumulation. Methyl triethanol ammonium (MTA), a chemical marker for the esterquat based flotation chemical (FLOT2015), known to be used at the mine, was detected in mussels positioned 1500m and 2000m downstream from the discharge outlet. Overall the biological responses indicated an increased level of stress in mussels located closest to the discharge outlet. The same biomarkers (MN, SoS, NL) were responsible for the integrated biological response (IBR/n) of the two closest stations and indicates a response to a common point source. The integrated biological response index (IBR/n) reflected the expected level of exposure to the mine effluent, with the highest IBR/n calculated in mussels positioned closest to the discharge. Principal component analysis (PCA) also showed a clear separation between the mussel groups, with the most stressed mussels located closest to the mine tailing outlet. Although not one chemical factor could explain the increased stress on the mussels, highest metal (As, Co, Ni, Cd, Zn, Ag, Cu, Fe) and MTA concentrations were detected in the mussel group located closest to the mine discharge. (c) 2018 Elsevier B.V. All rights reserved.",2018,,SCIENCE OF THE TOTAL ENVIRONMENT,644,,1056-1069,WOS:000445164000109,10.1016/j.scitotenv.2018.07.058,,#380,Brooks 2018,,biota; marine; primary source
